title,price,availability,rating
A Light in the Attic,51.77,Available,3
Tipping the Velvet,53.74,Available,1
Soumission,50.1,Available,1
Sharp Objects,47.82,Available,4
Sapiens: A Brief History of Humankind,54.23,Available,5
The Requiem Red,22.65,Available,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,Available,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Available,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Available,4
The Black Maria,52.15,Available,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Available,2
Shakespeare's Sonnets,20.66,Available,4
Set Me Free,17.46,Available,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Available,5
Rip it Up and Start Again,35.02,Available,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Available,3
Olio,23.88,Available,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Available,1
Libertarianism for Beginners,51.33,Available,2
It's Only the Himalayas,45.17,Available,2
